#{"t_start": 1730710221.010298, "env_id": "None"}
r,l,t
-97.499367,100,86.963276
-97.494502,100,87.038368
-98.724584,100,87.109339
-97.38328,100,87.162585
-97.38328,100,87.216362
-97.38328,100,87.278273
-97.38328,100,87.331608
-97.38328,100,87.385814
-98.84652,100,87.4673
-98.261224,100,87.545859
-98.420235,100,87.616606
-97.930582,100,87.684668
-98.845882,100,87.753343
-97.992043,100,87.820654
-98.00565,100,87.885824
-98.11983,100,87.956607
-98.749355,100,88.024843
-97.661336,100,88.092984
-97.38328,100,88.14185
-97.38328,100,88.190672
-97.38328,100,88.239537
-97.38328,100,88.288663
-97.38328,100,88.33834
-98.347205,100,88.410327
-98.446326,100,88.474711
-97.735484,100,89.937975
-98.710236,100,90.015966
-98.553872,100,90.091568
-97.529604,100,90.163633
-99.463567,100,90.234739
-99.242395,100,90.303089
-98.409252,100,90.371141
-98.897651,100,90.437387
-98.920829,100,90.486826
-98.888645,100,90.544753
-98.827371,100,90.593889
-98.738802,100,90.643095
-98.831487,100,90.691111
-98.623156,100,90.762961
-98.867788,100,90.829511
-98.919282,100,90.893012
-97.99303,100,90.955593
-98.340324,100,91.018552
-98.907182,100,91.087556
-97.865243,100,91.149358
-99.626284,100,91.209859
-98.217446,100,91.27419
-97.809632,100,91.335876
-98.814497,100,91.382743
-98.908729,100,91.429261
-98.80806,100,91.480794
-98.922376,100,91.546945
-98.814497,100,91.596611
-99.026388,100,91.670252
-98.231973,100,91.735788
-98.328668,100,93.390789
-98.143298,100,93.470731
-98.940913,100,93.54964
-99.408528,100,93.624306
-98.323004,100,93.696965
-98.532575,100,93.768541
-99.052659,100,93.836637
-98.197857,100,93.904531
-97.939391,100,93.954369
-98.180372,100,94.00428
-98.198909,100,94.055667
-97.976465,100,94.104186
-97.69841,100,94.151158
-99.321184,100,94.222261
-98.688854,100,94.284961
-99.158991,100,94.347301
-98.700196,100,94.408291
-98.724584,100,94.46859
-98.419557,100,94.528754
-97.919868,100,94.591614
-97.926638,100,94.652119
-97.457428,100,94.71359
-98.43989,100,94.771152
-98.032076,100,94.817254
-97.661336,100,94.860547
-98.087687,100,94.903995
-97.679873,100,94.948014
-98.143298,100,94.992295
-98.829167,100,95.061048
-99.309879,100,95.118481
-98.967683,100,95.176949
-98.551112,100,96.48479
-97.493516,100,96.559715
-97.919802,100,96.631046
-99.041582,100,96.700846
-97.754021,100,96.769162
-98.870908,100,96.836556
-97.700316,100,96.901135
-97.38328,100,96.950234
-97.38328,100,97.000536
-97.38328,100,97.052088
-97.38328,100,97.100471
-97.38328,100,97.147403
-98.336424,100,97.215279
-97.578379,100,97.277338
-97.977385,100,97.339954
-98.940419,100,97.409709
-97.735484,100,97.471871
-97.602766,100,97.541183
-98.217446,100,97.605296
-97.38328,100,97.673203
-97.809632,100,97.735981
-99.261105,100,97.797913
-97.38328,100,97.846037
-97.38328,100,97.892165
-97.38328,100,97.938027
-97.38328,100,97.986994
-97.38328,100,98.034559
-97.420354,100,98.099658
-98.40102,100,98.159431
-98.641693,100,98.219933
-98.253497,100,99.540009
-98.867014,100,99.615894
-97.932554,100,99.688265
-98.495501,100,99.759701
-99.200955,100,99.828788
-97.605725,100,99.897167
-98.700196,100,99.962616
-98.532575,100,100.012175
-98.43989,100,100.063236
-98.365742,100,100.11036
-98.310131,100,100.157849
-98.384279,100,100.204906
-98.106224,100,100.274636
-99.523977,100,100.337535
-98.180372,100,100.399754
-98.518678,100,100.45972
-97.716947,100,100.519966
-98.273057,100,100.58141
-97.587188,100,100.641786
-98.488664,100,100.701889
-98.847704,100,100.76179
-98.662334,100,100.820152
-98.365742,100,100.864214
-98.421353,100,100.908418
-98.347205,100,100.952602
-98.43989,100,100.996494
-98.476964,100,101.041013
-98.421353,100,101.104
-98.526911,100,101.161676
-98.693744,100,101.219652
-98.532575,100,101.277346
-97.529604,100,102.694196
-97.627154,100,102.779704
-99.310429,100,102.856702
-98.476964,100,102.931775
-99.605452,100,103.004843
-98.06915,100,103.079716
-97.38328,100,103.131826
-97.38328,100,103.183235
-97.38328,100,103.233988
-97.38328,100,103.282977
-97.38328,100,103.331984
-99.397202,100,103.402662
-99.465703,100,103.46691
-98.748971,100,103.528906
-97.822252,100,103.591672
-98.773358,100,103.654618
-99.333629,100,103.716393
-97.828169,100,103.776249
-98.556526,100,103.835803
-98.750158,100,103.895898
-97.587188,100,103.955711
-97.38328,100,104.001674
-97.38328,100,104.045922
-97.38328,100,104.089862
-97.38328,100,104.133158
-97.38328,100,104.17645
-98.106224,100,104.240607
-97.505217,100,104.298506
-98.870908,100,104.356239
-97.773478,100,104.414439
-97.642799,100,105.725929
-97.741334,100,105.801776
-98.860577,100,105.873664
-98.1149,100,105.944356
-98.198909,100,106.011678
-98.389077,100,106.081409
-98.25452,100,106.130991
-98.43989,100,106.179962
-98.273057,100,106.229036
-98.347205,100,106.277523
-98.235983,100,106.324625
-99.272202,100,106.39249
-99.091529,100,106.454646
-97.920854,100,106.5168
-98.768417,100,106.579499
-97.918882,100,106.639683
-98.736482,100,106.699862
-98.392262,100,106.760037
-97.983235,100,106.819321
-98.675809,100,106.877177
-98.514038,100,106.935378
-98.347205,100,106.980243
-98.217446,100,107.02464
-98.273057,100,107.068961
-98.458427,100,107.112465
-98.328668,100,107.155985
-97.624262,100,107.219105
-98.680871,100,107.27621
-99.037714,100,107.334245
-97.481816,100,107.391377
-97.432055,100,107.448884
-98.437873,100,108.859797
-97.38328,100,108.934077
-98.407548,100,109.005478
-99.139168,100,109.078149
-97.407668,100,109.145508
-97.38328,100,109.197406
-97.48083,100,109.247942
-97.38328,100,109.296706
-97.38328,100,109.347471
-97.38328,100,109.396837
-98.328668,100,109.469104
-98.261224,100,109.531041
-98.1149,100,109.593863
-97.689601,100,109.656353
-97.531576,100,109.723477
-98.07007,100,109.783214
-97.493516,100,109.843384
-97.602766,100,109.903059
-99.118893,100,109.963323
-97.605725,100,110.0231
-97.38328,100,110.069691
-97.38328,100,110.114175
-97.38328,100,110.157534
-97.38328,100,110.20129
-97.38328,100,110.244766
-99.21233,100,110.307568
-99.638063,100,110.365232
-97.529604,100,110.422805
-98.76797,100,110.480255
-98.106224,100,110.53883
-98.456323,100,111.867878
-98.940389,100,111.943145
-97.420354,100,112.021157
-98.139288,100,112.094182
-99.368037,100,112.163689
-98.310131,100,112.215638
-98.606723,100,112.267227
-98.421353,100,112.316968
-98.402816,100,112.36623
-98.514038,100,112.415618
-99.382458,100,112.518933
-98.532575,100,112.595361
-98.111088,100,112.665272
-98.96434,100,112.736956
-98.92779,100,112.815476
-99.11805,100,112.908526
-97.38328,100,112.980703
-99.565009,100,113.054701
-98.421353,100,113.124301
-97.865243,100,113.194072
-98.495501,100,113.245728
-98.365742,100,113.295424
-98.421353,100,113.344886
-98.680871,100,113.393667
-98.495501,100,113.442271
-98.119871,100,113.510651
-97.88378,100,113.573786
